,price,min_to_metro,total_area,living_area,floor,number_of_floors,construction_year,is_new,is_apartments,ceiling_height,number_of_rooms,living_area_ratio,average_room,highness,ВАО,ЗАО,САО,СВАО,СЗАО,ЦАО,ЮАО,ЮВАО,ЮЗАО
1430,13990000.0,2.302585092994046,4.021773869387265,3.8310215329737995,2.833213344056216,3.2188758248682006,7.607381425639791,0.0,0.0,2.9,2.0,0.8231681875524621,22.554808338937463,0.625,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1431,12700000.0,2.302585092994046,3.9945242269398897,3.8310215329737995,1.791759469228055,2.5649493574615367,7.601901959875166,0.0,0.0,3.035314937012598,2.0,0.8463342716299236,22.554808338937463,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1432,15950000.0,2.302585092994046,4.139955073474153,3.716008121502189,1.0986122886681098,2.302585092994046,7.59890045687141,0.0,0.0,2.65,2.0,0.6488673139158576,20.05,0.1111111111111111,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1433,35500000.0,2.0794415416798357,4.02535169073515,3.58351893845611,2.3978952727983707,2.302585092994046,7.604396348796338,0.0,0.0,3.0,2.0,0.6363636363636364,17.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1434,84400000.0,2.302585092994046,4.343805421853684,3.8310215329737995,1.3862943611198906,1.791759469228055,7.611347717403621,0.0,1.0,3.5,2.0,0.5935475878667753,22.554808338937463,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1435,39300000.0,2.4849066497880004,4.07753744390572,3.4011973816621555,3.258096538021482,3.2188758248682006,7.611347717403621,0.0,0.0,3.035314937012598,2.0,0.5,14.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1436,16650000.0,2.833213344056216,3.8155121050473024,3.3141860046725258,2.3978952727983707,2.5649493574615367,7.585281078639126,0.0,0.0,2.64,2.0,0.5968468468468469,13.25,0.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1437,35900000.0,2.4849066497880004,3.8543938925915096,3.8310215329737995,2.3978952727983707,2.772588722239781,7.612336837167746,0.0,0.0,2.95,2.0,0.9763986293912321,22.554808338937463,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1438,10150000.0,2.0794415416798357,3.634951112088381,3.169685580677429,1.3862943611198906,2.5649493574615367,7.584773077612199,0.0,0.0,3.035314937012598,2.0,0.6178861788617886,11.4,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1439,15999990.0,2.6390573296152584,4.0809215418899605,3.5467396869528134,2.70805020110221,2.833213344056216,7.603008336866771,0.0,0.0,2.7,2.0,0.5790378006872853,16.85,0.8125,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
